filename,kWeight,gap,runtime(ms),size,optimal?
w_adjnoun.txt,0.1,0.0,0.0,18,TRUE
w_adjnoun.txt,0.25,0.0,0.0,21,TRUE
w_adjnoun.txt,0.5,0.0,0.0,27,TRUE
w_adjnoun.txt,0.75,0.0,0.01,35,TRUE
w_adjnoun.txt,1,0.0,0.02,44,TRUE
w_david.txt,0.1,0.0,0.0,2,TRUE
w_david.txt,0.25,0.0,0.0,8,TRUE
w_david.txt,0.5,0.0,0.0,15,TRUE
w_david.txt,0.75,0.0,0.0,23,TRUE
w_david.txt,1,0.0,0.0,28,TRUE
w_dolphins.txt,0.1,0.0,0.0,14,TRUE
w_dolphins.txt,0.25,0.0,0.0,17,TRUE
w_dolphins.txt,0.5,0.0,0.0,19,TRUE
w_dolphins.txt,0.75,0.0,0.0,25,TRUE
w_dolphins.txt,1,0.0,0.01,29,TRUE
w_football.txt,0.1,0.0,0.13,12,TRUE
w_football.txt,0.25,0.0,0.43,14,TRUE
w_football.txt,0.5,0.0,0.86,16,TRUE
w_football.txt,0.75,0.0,13.18,21,TRUE
w_football.txt,1,0.0,265.42,25,TRUE
w_huck.txt,0.1,0.0,0.0,9,TRUE
w_huck.txt,0.25,0.0,0.0,12,TRUE
w_huck.txt,0.5,0.0,0.0,18,TRUE
w_huck.txt,0.75,0.0,0.0,22,TRUE
w_huck.txt,1,0.0,0.0,26,TRUE
w_lesmis.txt,0.1,0.0,0.0,10,TRUE
w_lesmis.txt,0.25,0.0,0.0,17,TRUE
w_lesmis.txt,0.5,0.0,0.0,22,TRUE
w_lesmis.txt,0.75,0.0,0.0,33,TRUE
w_lesmis.txt,1,0.0,0.0,38,TRUE
w_polbooks.txt,0.1,0.0,0.0,13,TRUE
w_polbooks.txt,0.25,0.0,0.01,14,TRUE
w_polbooks.txt,0.5,0.0,0.01,18,TRUE
w_polbooks.txt,0.75,0.0,0.03,23,TRUE
w_polbooks.txt,1,0.0,0.01,27,TRUE
w_zachary.txt,0.1,0.0,0.0,4,TRUE
w_zachary.txt,0.25,0.0,0.0,5,TRUE
w_zachary.txt,0.5,0.0,0.0,8,TRUE
w_zachary.txt,0.75,0.0,0.0,11,TRUE
w_zachary.txt,1,0.0,0.0,15,TRUE
