filename,kWeight,gap,runtime(ms),size,optimal?
w_rnd_graph_1000_20_1.txt,0.1,0.6,108000.01,15,FALSE
w_rnd_graph_1000_20_1.txt,0.25,0.63,108000.01,16,FALSE
w_rnd_graph_1000_20_1.txt,0.5,0.63,108000.02,19,FALSE
w_rnd_graph_1000_20_1.txt,0.75,0.65,108000.02,23,FALSE
w_rnd_graph_1000_20_1.txt,1,0.62,108000.02,28,FALSE
w_rnd_graph_1000_20_2.txt,0.1,0.60,108000.01,15,FALSE
w_rnd_graph_1000_20_2.txt,0.25,0.65,108000.01,17,FALSE
w_rnd_graph_1000_20_2.txt,0.5,0.63,108000.02,19,FALSE
w_rnd_graph_1000_20_2.txt,0.75,0.65,108000.02,23,FALSE
w_rnd_graph_1000_20_2.txt,1,0.60,108000.02,28,FALSE
w_rnd_graph_1000_20_3.txt,0.1,0.60,108000.01,15,FALSE
w_rnd_graph_1000_20_3.txt,0.25,0.65,108000.01,17,FALSE
w_rnd_graph_1000_20_3.txt,0.5,0.65,108000.02,20,FALSE
w_rnd_graph_1000_20_3.txt,0.75,0.65,108000.02,23,FALSE
w_rnd_graph_1000_20_3.txt,1,0.62,108000.02,28,FALSE
w_rnd_graph_1000_20_4.txt,0.1,0.60,108000.01,15,FALSE
w_rnd_graph_1000_20_4.txt,0.25,0.65,108000.01,17,FALSE
w_rnd_graph_1000_20_4.txt,0.5,0.65,108000.02,20,FALSE
w_rnd_graph_1000_20_4.txt,0.75,0.65,108000.02,23,FALSE
w_rnd_graph_1000_20_4.txt,1,0.60,108000.02,29,FALSE
w_rnd_graph_1000_30_1.txt,0.1,0.60,108000.03,10,FALSE
w_rnd_graph_1000_30_1.txt,0.25,0.67,108000.01,12,FALSE
w_rnd_graph_1000_30_1.txt,0.5,0.64,108000.01,14,FALSE
w_rnd_graph_1000_30_1.txt,0.75,0.63,108000.01,16,FALSE
w_rnd_graph_1000_30_1.txt,1,0.61,108000.01,19,FALSE
w_rnd_graph_1000_30_2.txt,0.1,0.60,108000.02,10,FALSE
w_rnd_graph_1000_30_2.txt,0.25,0.67,108000.01,12,FALSE
w_rnd_graph_1000_30_2.txt,0.5,0.64,108000.01,14,FALSE
w_rnd_graph_1000_30_2.txt,0.75,0.65,108000.01,17,FALSE
w_rnd_graph_1000_30_2.txt,1,0.61,108000.01,19,FALSE
w_rnd_graph_1000_30_3.txt,0.1,0.64,108000.01,11,FALSE
w_rnd_graph_1000_30_3.txt,0.25,0.67,108000.01,12,FALSE
w_rnd_graph_1000_30_3.txt,0.5,0.64,108000.02,14,FALSE
w_rnd_graph_1000_30_3.txt,0.75,0.65,108000.01,17,FALSE
w_rnd_graph_1000_30_3.txt,1,0.61,108000.02,19,FALSE
w_rnd_graph_1000_30_4.txt,0.1,0.60,108000.01,10,FALSE
w_rnd_graph_1000_30_4.txt,0.25,0.67,108000.0,12,FALSE
w_rnd_graph_1000_30_4.txt,0.5,0.62,108000.01,13,FALSE
w_rnd_graph_1000_30_4.txt,0.75,0.65,108000.01,17,FALSE
w_rnd_graph_1000_30_4.txt,1,0.61,108000.02,20,FALSE
w_rnd_graph_1000_40_1.txt,0.1,0.63,108000.01,8,FALSE
w_rnd_graph_1000_40_1.txt,0.25,0.67,108000.02,9,FALSE
w_rnd_graph_1000_40_1.txt,0.5,0.60,108000.01,10,FALSE
w_rnd_graph_1000_40_1.txt,0.75,0.67,108000.02,13,FALSE
w_rnd_graph_1000_40_1.txt,1,0.64,108000.02,15,FALSE
w_rnd_graph_1000_40_2.txt,0.1,0.63,108000.01,8,FALSE
w_rnd_graph_1000_40_2.txt,0.25,0.67,108000.02,9,FALSE
w_rnd_graph_1000_40_2.txt,0.5,0.60,108000.01,10,FALSE
w_rnd_graph_1000_40_2.txt,0.75,0.69,108000.01,13,FALSE
w_rnd_graph_1000_40_2.txt,1,0.64,108000.01,15,FALSE
w_rnd_graph_1000_40_3.txt,0.1,0.57,108000.04,7,FALSE
w_rnd_graph_1000_40_3.txt,0.25,0.67,108000.02,9,FALSE
w_rnd_graph_1000_40_3.txt,0.5,0.64,108000.02,11,FALSE
w_rnd_graph_1000_40_3.txt,0.75,0.69,108000.01,13,FALSE
w_rnd_graph_1000_40_3.txt,1,0.64,108000.01,15,FALSE
w_rnd_graph_1000_40_4.txt,0.1,0.63,108000.03,8,FALSE
w_rnd_graph_1000_40_4.txt,0.25,0.67,108000.01,9,FALSE
w_rnd_graph_1000_40_4.txt,0.5,0.60,108000.01,10,FALSE
w_rnd_graph_1000_40_4.txt,0.75,0.67,108000.02,13,FALSE
w_rnd_graph_1000_40_4.txt,1,0.64,108000.01,15,FALSE
w_rnd_graph_1000_50_1.txt,0.1,0.50,108000.02,6,FALSE
w_rnd_graph_1000_50_1.txt,0.25,0.57,108000.01,7,FALSE
w_rnd_graph_1000_50_1.txt,0.5,0.63,108000.01,8,FALSE
w_rnd_graph_1000_50_1.txt,0.75,0.60,108000.01,10,FALSE
w_rnd_graph_1000_50_1.txt,1,0.64,108000.01,11,FALSE
w_rnd_graph_1000_50_2.txt,0.1,0.50,108000.02,6,FALSE
w_rnd_graph_1000_50_2.txt,0.25,0.57,108000.01,7,FALSE
w_rnd_graph_1000_50_2.txt,0.5,0.63,108000.01,8,FALSE
w_rnd_graph_1000_50_2.txt,0.75,0.60,108000.01,10,FALSE
w_rnd_graph_1000_50_2.txt,1,0.64,108000.01,13,FALSE
w_rnd_graph_1000_50_3.txt,0.1,0.50,108000.07,6,FALSE
w_rnd_graph_1000_50_3.txt,0.25,0.57,108000.01,7,FALSE
w_rnd_graph_1000_50_3.txt,0.5,0.63,108000.01,8,FALSE
w_rnd_graph_1000_50_3.txt,0.75,0.60,108000.01,10,FALSE
w_rnd_graph_1000_50_3.txt,1,0.64,108000.01,11,FALSE
w_rnd_graph_1000_50_4.txt,0.1,0.50,108000.07,6,FALSE
w_rnd_graph_1000_50_4.txt,0.25,0.57,108000.01,7,FALSE
w_rnd_graph_1000_50_4.txt,0.5,0.63,108000.02,8,FALSE
w_rnd_graph_1000_50_4.txt,0.75,0.60,108000.01,10,FALSE
w_rnd_graph_1000_50_4.txt,1,0.64,108000.0,11,FALSE
w_rnd_graph_2000_20_1.txt,0.1,0.68,108000.04,19,FALSE
w_rnd_graph_2000_20_1.txt,0.25,0.71,108000.03,21,FALSE
w_rnd_graph_2000_20_1.txt,0.5,0.70,108000.16,23,FALSE
w_rnd_graph_2000_20_1.txt,0.75,0.71,108000.18,28,FALSE
w_rnd_graph_2000_20_1.txt,1,0.68,108000.21,32,FALSE
w_rnd_graph_2000_20_2.txt,0.1,0.72,108000.06,18,FALSE
w_rnd_graph_2000_20_2.txt,0.25,0.73,108000.01,22,FALSE
w_rnd_graph_2000_20_2.txt,0.5,0.71,108000.2,24,FALSE
w_rnd_graph_2000_20_2.txt,0.75,0.71,108000.18,28,FALSE
w_rnd_graph_2000_20_2.txt,1,0.67,108000.22,32,FALSE
w_rnd_graph_2000_20_3.txt,0.1,0.68,108000.02,19,FALSE
w_rnd_graph_2000_20_3.txt,0.25,0.71,108000.01,21,FALSE
w_rnd_graph_2000_20_3.txt,0.5,0.70,108000.29,23,FALSE
w_rnd_graph_2000_20_3.txt,0.75,0.70,108000.22,27,FALSE
w_rnd_graph_2000_20_3.txt,1,0.68,108000.2,31,FALSE
w_rnd_graph_2000_20_4.txt,0.1,0.72,108000.02,18,FALSE
w_rnd_graph_2000_20_4.txt,0.25,0.71,108000.01,21,FALSE
w_rnd_graph_2000_20_4.txt,0.5,0.70,108000.24,23,FALSE
w_rnd_graph_2000_20_4.txt,0.75,0.70,108000.36,27,FALSE
w_rnd_graph_2000_20_4.txt,1,0.67,108000.23,33,FALSE
w_rnd_graph_2000_30_1.txt,0.1,0.69,108000.07,13,FALSE
w_rnd_graph_2000_30_1.txt,0.25,0.73,108000.01,15,FALSE
w_rnd_graph_2000_30_1.txt,0.5,0.69,108000.2,16,FALSE
w_rnd_graph_2000_30_1.txt,0.75,0.74,108000.12,19,FALSE
w_rnd_graph_2000_30_1.txt,1,0.67,108000.01,21,FALSE
w_rnd_graph_2000_30_2.txt,0.1,0.67,108000.02,12,FALSE
w_rnd_graph_2000_30_2.txt,0.25,0.73,108000.07,15,FALSE
w_rnd_graph_2000_30_2.txt,0.5,0.71,108000.16,17,FALSE
w_rnd_graph_2000_30_2.txt,0.75,0.75,108000.1,20,FALSE
w_rnd_graph_2000_30_2.txt,1,0.68,108000.12,22,FALSE
w_rnd_graph_2000_30_3.txt,0.1,0.67,108000.03,12,FALSE
w_rnd_graph_2000_30_3.txt,0.25,0.73,108000.01,15,FALSE
w_rnd_graph_2000_30_3.txt,0.5,0.71,108000.14,17,FALSE
w_rnd_graph_2000_30_3.txt,0.75,0.74,108000.01,19,FALSE
w_rnd_graph_2000_30_3.txt,1,0.68,108000.01,22,FALSE
w_rnd_graph_2000_30_4.txt,0.1,0.69,108000.04,13,FALSE
