filename,kWeight,gap,runtime(ms),size,optimal?
MOD_w_rnd_graph_1000_20_1.txt,0.1,0.6,108000.01,15,FALSE
MOD_w_rnd_graph_1000_20_1.txt,0.25,0.63,108000.01,19,FALSE
MOD_w_rnd_graph_1000_20_1.txt,0.5,0.63,108000.01,22,FALSE
MOD_w_rnd_graph_1000_20_1.txt,0.75,0.64,108000.02,25,FALSE
MOD_w_rnd_graph_1000_20_1.txt,1,0.61,108000.02,27,FALSE
MOD_w_rnd_graph_1000_30_1.txt,0.1,0.6,108000.02,10,FALSE
MOD_w_rnd_graph_1000_30_1.txt,0.25,0.61,108000.01,13,FALSE
MOD_w_rnd_graph_1000_30_1.txt,0.5,0.68,108000.01,16,FALSE
MOD_w_rnd_graph_1000_30_1.txt,0.75,0.64,108000.02,17,FALSE
MOD_w_rnd_graph_1000_30_1.txt,1,0.65,108000.01,20,FALSE
MOD_w_rnd_graph_1000_40_1.txt,0.1,0.65,108000.02,8,FALSE
MOD_w_rnd_graph_1000_40_1.txt,0.25,0.6,108000.01,10,FALSE
MOD_w_rnd_graph_1000_40_1.txt,0.5,0.66,108000.03,12,FALSE
MOD_w_rnd_graph_1000_40_1.txt,0.75,0.71,108000.02,14,FALSE
MOD_w_rnd_graph_1000_40_1.txt,1,0.77,108000.02,15,FALSE
MOD_w_rnd_graph_1000_50_1.txt,0.1,0.5,108000.01,6,FALSE
MOD_w_rnd_graph_1000_50_1.txt,0.25,0.65,108000.02,8,FALSE
MOD_w_rnd_graph_1000_50_1.txt,0.5,0.7,108000.01,10,FALSE
MOD_w_rnd_graph_1000_50_1.txt,0.75,0.63,108000.01,11,FALSE
MOD_w_rnd_graph_1000_50_1.txt,1,0.66,108000.01,12,FALSE
MOD_w_rnd_graph_2000_20_1.txt,0.1,0.68,108000.04,19,FALSE
MOD_w_rnd_graph_2000_20_1.txt,0.25,0.69,108000.23,23,FALSE
MOD_w_rnd_graph_2000_20_1.txt,0.5,0.70,108000.02,27,FALSE
MOD_w_rnd_graph_2000_20_1.txt,0.75,0.70,108000.15,30,FALSE
