graph;K;solution;size;gap;runtime(s);optimal?
w_dolphins.txt;0.1;[6, 17, 27, 29, 30, 32, 33, 38, 42, 46, 51, 57, 59, 61];14;0.0;0.0;True
w_dolphins.txt;0.25;[1, 12, 17, 22, 29, 30, 32, 36, 38, 42, 45, 48, 49, 51, 56, 59, 61];17;0.0;0.0;True
w_dolphins.txt;0.5;[2, 6, 8, 12, 13, 18, 19, 22, 27, 29, 31, 36, 38, 42, 48, 49, 51, 53, 60];19;0.0;0.0;True
w_dolphins.txt;0.75;[4, 6, 7, 9, 10, 11, 12, 13, 14, 20, 22, 26, 31, 34, 35, 36, 40, 42, 43, 45, 48, 55, 58, 60, 61];25;0.0;0.0;True
w_dolphins.txt;1;[1, 2, 3, 4, 7, 9, 11, 12, 13, 14, 15, 20, 22, 25, 29, 31, 34, 35, 36, 39, 42, 46, 48, 51, 53, 56, 58, 60, 61];29;0.0;0.01;True
w_lesmis.txt;0.1;[0, 11, 23, 25, 28, 47, 48, 49, 51, 57];10;0.0;0.0;True
w_lesmis.txt;0.25;[0, 9, 10, 11, 17, 23, 25, 32, 37, 45, 46, 48, 49, 50, 51, 57, 73];17;0.0;0.0;True
w_lesmis.txt;0.5;[0, 4, 9, 10, 11, 15, 21, 23, 24, 25, 27, 31, 32, 37, 45, 46, 48, 49, 52, 53, 57, 73];22;0.0;0.0;True
w_lesmis.txt;0.75;[0, 3, 4, 7, 8, 9, 10, 11, 13, 14, 15, 18, 19, 23, 24, 25, 28, 31, 32, 33, 35, 40, 41, 45, 46, 47, 48, 49, 52, 53, 57, 58, 74];33;0.0;0.0;True
w_lesmis.txt;1;[0, 1, 2, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 18, 20, 21, 25, 26, 30, 32, 33, 35, 40, 42, 44, 45, 46, 47, 48, 50, 52, 53, 55, 56, 62, 67, 74];38;0.0;0.0;True
w_david.txt;0.1;[59, 82];2;0.0;0.0;True
w_david.txt;0.25;[18, 45, 47, 65, 66, 74, 81, 82];8;0.0;0.0;True
w_david.txt;0.5;[15, 18, 25, 33, 47, 48, 51, 61, 64, 65, 74, 75, 81, 82, 84];15;0.0;0.0;True
w_david.txt;0.75;[11, 12, 24, 25, 33, 34, 38, 39, 41, 47, 48, 50, 57, 59, 61, 63, 64, 65, 66, 70, 74, 81, 82];23;0.0;0.0;True
w_david.txt;1;[1, 3, 4, 5, 9, 12, 23, 24, 25, 26, 37, 38, 39, 41, 45, 47, 48, 50, 51, 57, 61, 63, 64, 65, 74, 75, 81, 82];28;0.0;0.0;True
w_anna.txt;0.1;[17, 29, 35, 44, 68, 71, 73, 94, 121, 132, 134, 137];12;0.0;0.0;True
w_anna.txt;0.25;[1, 17, 26, 35, 42, 55, 63, 68, 71, 73, 76, 86, 94, 95, 106, 108, 132, 134, 137];19;0.0;0.0;True
