graph;K;solution;size;gap;runtime(s);optimal?
w_rnd_graph_1000_30_1.txt;0.1;[12, 269, 297, 351, 525, 626, 759, 881, 904, 957];10;0.6;100.03;False
w_rnd_graph_1000_30_1.txt;0.25;[80, 100, 124, 182, 266, 289, 336, 382, 409, 612, 959, 980];12;0.6666666666666666;100.01;False
w_rnd_graph_1000_30_1.txt;0.5;[37, 251, 386, 457, 486, 511, 720, 761, 786, 787, 811, 920, 955, 980];14;0.6428571428571429;100.01;False
w_rnd_graph_1000_30_1.txt;0.75;[48, 61, 87, 302, 327, 494, 595, 643, 657, 795, 856, 864, 908, 920, 971, 995];16;0.625;100.01;False
w_rnd_graph_1000_30_1.txt;1;[26, 114, 116, 182, 309, 312, 351, 583, 619, 638, 642, 652, 761, 767, 785, 856, 881, 925];18;0.6111111111111112;100.01;False
w_rnd_graph_2000_30_3.txt;0.1;[19, 117, 354, 446, 605, 610, 756, 881, 1085, 1124, 1280, 1536];12;0.6666666666666666;100.03;False
w_rnd_graph_2000_30_3.txt;0.25;[522, 589, 599, 603, 810, 1039, 1087, 1216, 1338, 1440, 1529, 1670, 1787, 1827, 1915];15;0.7333333333333333;100.01;False
w_rnd_graph_2000_30_3.txt;0.5;[153, 396, 464, 550, 571, 670, 727, 760, 1058, 1111, 1125, 1197, 1532, 1624, 1783, 1810, 1962];17;0.7058823529411765;100.14;False
w_rnd_graph_2000_30_3.txt;0.75;[1, 78, 94, 123, 138, 219, 292, 520, 727, 747, 951, 981, 1265, 1352, 1368, 1412, 1469, 1491, 1716];19;0.7368421052631579;100.01;False
w_rnd_graph_2000_30_3.txt;1;[128, 244, 247, 299, 302, 307, 383, 450, 490, 1166, 1469, 1539, 1562, 1576, 1596, 1648, 1653, 1736, 1748, 1835, 1877, 1988];22;0.6818181818181818;100.01;False
w_rnd_graph_500_30_3.txt;0.1;[3, 107, 223, 224, 230, 329, 477, 487];8;0.375;100.01;False
w_rnd_graph_500_30_3.txt;0.25;[24, 28, 87, 107, 156, 261, 263, 270, 401, 456];10;0.5;100.01;False
w_rnd_graph_500_30_3.txt;0.5;[87, 194, 220, 264, 342, 349, 374, 376, 420, 437, 472];11;0.5454545454545454;100.0;False
