graph;K;solution;size;gap;runtime(s);optimal?
MOD_w_rnd_graph_4000_50_1.txt;0.1;[3983, 3989, 3990, 3992, 3993, 3994, 3995, 3997, 3998];9;1.0;100.04;False
MOD_w_rnd_graph_4000_50_1.txt;0.25;[3982, 3983, 3985, 3989, 3990, 3992, 3993, 3995, 3996, 3997, 3998];11;1.0;100.04;False
MOD_w_rnd_graph_4000_50_1.txt;0.5;[3981, 3982, 3984, 3986, 3987, 3989, 3990, 3991, 3992, 3993, 3995, 3996, 3997, 3998, 3999];15;1.0;100.04;False
MOD_w_rnd_graph_4000_50_1.txt;0.75;[3976, 3979, 3980, 3982, 3984, 3985, 3986, 3987, 3990, 3991, 3992, 3993, 3994, 3995, 3996, 3998, 3999];17;1.0;100.04;False
MOD_w_rnd_graph_4000_50_1.txt;1;[3975, 3976, 3977, 3979, 3980, 3982, 3984, 3985, 3986, 3989, 3990, 3991, 3992, 3993, 3994, 3995, 3996, 3997, 3998, 3999];20;1.0;100.04;False
MOD_w_rnd_graph_500_30_1.txt;0.1;[147, 213, 214, 216, 224, 268, 345, 490];8;0.375;100.01;False
MOD_w_rnd_graph_500_30_1.txt;0.25;[16, 41, 45, 147, 155, 209, 282, 290, 460, 485, 492];11;0.5454545454545454;100.04;False
MOD_w_rnd_graph_500_30_1.txt;0.5;[94, 122, 163, 209, 213, 220, 231, 243, 251, 306, 461, 477, 489];13;0.5384615384615384;100.01;False
MOD_w_rnd_graph_500_30_1.txt;0.75;[41, 72, 74, 139, 236, 245, 290, 292, 316, 329, 366, 372, 480, 487];14;0.5714285714285714;100.03;False
MOD_w_rnd_graph_500_30_1.txt;1;[14, 72, 120, 273, 286, 290, 300, 329, 366, 378, 418, 430, 455, 460, 488, 492];16;0.5625;100.0;False
MOD_w_rnd_graph_4000_20_1.txt;0.1;[3941, 3965, 3966, 3969, 3972, 3973, 3974, 3977, 3978, 3980, 3981, 3982, 3983, 3987, 3988, 3989, 3990, 3991, 3992, 3993, 3994, 3995, 3996, 3997, 3998, 3999];26;1.0;100.02;False
MOD_w_rnd_graph_4000_20_1.txt;0.25;[3940, 3956, 3961, 3964, 3965, 3967, 3968, 3970, 3972, 3973, 3976, 3977, 3978, 3979, 3980, 3981, 3982, 3983, 3984, 3985, 3986, 3987, 3988, 3989, 3991, 3992, 3993, 3994, 3995, 3996, 3997, 3998, 3999];33;1.0;100.02;False
MOD_w_rnd_graph_4000_20_1.txt;0.5;[3937, 3941, 3955, 3956, 3958, 3962, 3964, 3965, 3966, 3967, 3968, 3969, 3970, 3971, 3972, 3973, 3974, 3977, 3978, 3979, 3980, 3981, 3982, 3983, 3984, 3985, 3986, 3987, 3988, 3989, 3991, 3992, 3993, 3994, 3995, 3996, 3997, 3998, 3999];39;1.0;100.02;False
MOD_w_rnd_graph_4000_20_1.txt;0.75;[3925, 3938, 3947, 3948, 3951, 3952, 3954, 3956, 3957, 3959, 3960, 3961, 3962, 3964, 3965, 3966, 3967, 3968, 3969, 3970, 3971, 3973, 3974, 3976, 3977, 3978, 3979, 3980, 3981, 3982, 3983, 3984, 3985, 3986, 3987, 3988, 3989, 3990, 3991, 3992, 3993, 3994, 3995, 3996, 3998, 3999];46;1.0;100.02;False
MOD_w_rnd_graph_4000_20_1.txt;1;[3925, 3938, 3941, 3945, 3947, 3948, 3949, 3952, 3953, 3955, 3956, 3957, 3959, 3960, 3961, 3965, 3967, 3969, 3970, 3971, 3972, 3973, 3974, 3975, 3976, 3977, 3979, 3980, 3981, 3982, 3983, 3984, 3985, 3986, 3987, 3988, 3989, 3990, 3991, 3992, 3993, 3994, 3996, 3997, 3999];45;1.0;100.05;False
MOD_w_rnd_graph_3000_50_1.txt;0.1;[2988, 2990, 2992, 2993, 2995, 2996, 2997, 2998, 2999];9;1.0;100.03;False
MOD_w_rnd_graph_3000_50_1.txt;0.25;[2981, 2986, 2988, 2989, 2990, 2991, 2992, 2994, 2995, 2996, 2997, 2998, 2999];13;1.0;100.03;False
MOD_w_rnd_graph_3000_50_1.txt;0.5;[2981, 2983, 2985, 2986, 2987, 2988, 2989, 2992, 2993, 2994, 2995, 2996, 2997, 2998, 2999];15;1.0;100.04;False
MOD_w_rnd_graph_3000_50_1.txt;0.75;[2981, 2982, 2983, 2984, 2985, 2986, 2988, 2989, 2990, 2992, 2993, 2994, 2996, 2997, 2998, 2999];16;1.0;100.03;False
MOD_w_rnd_graph_3000_50_1.txt;1;[2979, 2981, 2982, 2983, 2984, 2985, 2986, 2988, 2989, 2990, 2991, 2993, 2994, 2996, 2997, 2998, 2999];17;1.0;100.02;False
MOD_w_rnd_graph_1000_50_1.txt;0.1;[179, 244, 294, 362, 510, 761];6;0.5;100.01;False
MOD_w_rnd_graph_1000_50_1.txt;0.25;[85, 118, 145, 308, 314, 482, 770, 944];8;0.625;100.02;False
MOD_w_rnd_graph_1000_50_1.txt;0.5;[105, 200, 211, 257, 520, 623, 675, 689, 760, 879];10;0.7;100.01;False
MOD_w_rnd_graph_1000_50_1.txt;0.75;[39, 310, 360, 512, 529, 549, 563, 567, 612, 698, 841];11;0.6363636363636364;100.01;False
MOD_w_rnd_graph_1000_50_1.txt;1;[109, 325, 369, 374, 384, 419, 501, 517, 518, 630, 689, 944];12;0.6666666666666666;100.01;False
MOD_w_rnd_graph_2000_20_1.txt;0.1;[29, 134, 155, 686, 705, 943, 1041, 1054, 1087, 1166, 1401, 1562, 1676, 1691, 1706, 1731, 1827, 1934, 1962];19;0.6842105263157895;100.04;False
MOD_w_rnd_graph_2000_20_1.txt;0.25;[13, 64, 322, 473, 548, 559, 567, 573, 598, 667, 675, 1114, 1151, 1231, 1309, 1372, 1382, 1469, 1507, 1580, 1686, 1774, 1782];23;0.6956521739130435;100.23;False
MOD_w_rnd_graph_2000_20_1.txt;0.5;[86, 122, 184, 269, 276, 332, 454, 468, 567, 598, 698, 794, 931, 1118, 1145, 1252, 1282, 1285, 1350, 1372, 1385, 1478, 1550, 1577, 1621, 1757, 1955];27;0.7037037037037037;100.02;False
MOD_w_rnd_graph_2000_20_1.txt;0.75;[61, 274, 322, 335, 402, 405, 558, 598, 628, 675, 681, 935, 988, 995, 1159, 1342, 1358, 1464, 1505, 1552, 1556, 1566, 1640, 1681, 1717, 1750, 1757, 1770, 1810, 1813];30;0.7333333333333333;100.15;False
MOD_w_rnd_graph_2000_20_1.txt;1;[4, 76, 86, 112, 138, 170, 212, 259, 410, 420, 523, 536, 548, 567, 598, 631, 648, 681, 835, 923, 950, 970, 1019, 1268, 1478, 1523, 1556, 1621, 1809, 1878, 1975];31;0.6774193548387096;100.21;False
MOD_w_rnd_graph_2000_30_1.txt;0.1;[117, 272, 282, 401, 424, 558, 802, 955, 957, 971, 1054, 1490, 1896];13;0.6923076923076923;100.02;False
MOD_w_rnd_graph_2000_30_1.txt;0.25;[129, 178, 709, 802, 849, 1054, 1175, 1288, 1341, 1467, 1490, 1503, 1573, 1729, 1863, 1919];16;0.6875;100.14;False
MOD_w_rnd_graph_2000_30_1.txt;0.5;[92, 368, 385, 694, 835, 940, 1055, 1075, 1174, 1405, 1672, 1718, 1752, 1770, 1771, 1785, 1816, 1859, 1978];19;0.7368421052631579;100.01;False
MOD_w_rnd_graph_2000_30_1.txt;0.75;[92, 136, 139, 357, 474, 546, 661, 676, 764, 874, 966, 999, 1071, 1146, 1359, 1516, 1535, 1670, 1837, 1857, 1981, 1989];22;0.7272727272727273;100.03;False
MOD_w_rnd_graph_2000_30_1.txt;1;[30, 45, 87, 117, 369, 378, 582, 598, 619, 705, 709, 777, 785, 867, 911, 920, 1046, 1092, 1102, 1261, 1680, 1828, 1949];23;0.6956521739130435;100.11;False
MOD_w_rnd_graph_500_40_1.txt;0.1;[87, 127, 195, 385, 402, 447];6;0.5;100.01;False
MOD_w_rnd_graph_500_40_1.txt;0.25;[44, 148, 177, 195, 212, 370, 371, 414];8;0.5;100.04;False
MOD_w_rnd_graph_500_40_1.txt;0.5;[15, 101, 195, 204, 209, 245, 307, 371, 455];9;0.5555555555555556;100.0;False
MOD_w_rnd_graph_500_40_1.txt;0.75;[101, 103, 172, 179, 195, 209, 245, 277, 291, 325, 452, 468];12;0.5833333333333334;100.01;False
MOD_w_rnd_graph_500_40_1.txt;1;[34, 307, 308, 325, 331, 334, 420, 458, 468, 473, 476, 496];12;0.5833333333333334;100.0;False
MOD_w_rnd_graph_4000_40_1.txt;0.1;[3982, 3984, 3986, 3989, 3990, 3991, 3992, 3993, 3994, 3996, 3997, 3998, 3999];13;1.0;100.04;False
MOD_w_rnd_graph_4000_40_1.txt;0.25;[3982, 3983, 3984, 3985, 3987, 3989, 3990, 3991, 3992, 3993, 3994, 3995, 3996, 3997, 3998, 3999];16;1.0;100.03;False
MOD_w_rnd_graph_4000_40_1.txt;0.5;[3979, 3981, 3982, 3983, 3984, 3985, 3987, 3988, 3989, 3990, 3991, 3992, 3994, 3995, 3996, 3997, 3998, 3999];18;1.0;100.03;False
