filename;numVertices;numEdges;kWeight;maxIterations;removeVerticesPercentage;rxrOF;rxrTime;rxeOF;rxeTime;rxcoOF;rxcoTime;rxcmOF;rxcmTime;exrOF;exrTime;exeOF;exeTime;excoOF;excoTime;excmOF;excmTime;coxrOF;coxrTime;coxeOF;coxeTime;coxcoOF;coxcoTime;coxcmOF;coxcmTime;cmxrOF;cmxrTime;cmxeOF;cmxeTime;cmxcoOF;cmxcoTime;cmxcmOF;cmxcmTime
literature/w_dolphins.txt;62;190;0.1;64;0.2;17.0;0.027;17.0;0.006;17.0;0.01;16.0;0.061;17.0;0.025;16.0;0.005;18.0;0.004;16.0;0.039;20.0;0.032;16.0;0.006;17.0;0.011;20.0;0.098;17.0;0.018;15.0;0.008;18.0;0.013;16.0;0.024
literature/w_dolphins.txt;62;190;0.25;64;0.2;22.0;0.015;21.0;0.004;19.0;0.004;19.0;0.026;20.0;0.03;20.0;0.005;20.0;0.006;20.0;0.077;20.0;0.042;19.0;0.007;19.0;0.005;19.0;0.043;20.0;0.045;21.0;0.019;19.0;0.014;20.0;0.031
literature/w_dolphins.txt;62;190;0.5;64;0.2;23.0;0.012;23.0;0.003;22.0;0.003;21.0;0.027;23.0;0.036;23.0;0.005;28.0;0.006;23.0;0.086;23.0;0.026;23.0;0.005;23.0;0.005;23.0;0.058;23.0;0.044;23.0;0.021;23.0;0.021;23.0;0.039
literature/w_dolphins.txt;62;190;0.75;64;0.2;29.0;0.02;32.0;0.007;29.0;0.006;28.0;0.105;29.0;0.026;30.0;0.005;28.0;0.006;29.0;0.092;28.0;0.028;29.0;0.006;29.0;0.007;29.0;0.065;29.0;0.037;30.0;0.029;30.0;0.026;29.0;0.037
literature/w_dolphins.txt;62;190;1.0;64;0.2;32.0;0.016;30.0;0.005;32.0;0.006;30.0;0.096;34.0;0.026;33.0;0.006;33.0;0.007;34.0;0.119;33.0;0.031;33.0;0.009;32.0;0.008;33.0;0.086;33.0;0.043;33.0;0.029;33.0;0.028;30.0;0.051
literature/w_lesmis.txt;77;292;0.1;64;0.2;21.0;0.014;13.0;0.002;13.0;0.004;12.0;0.011;13.0;0.024;12.0;0.005;13.0;0.003;13.0;0.04;12.0;0.025;13.0;0.003;12.0;0.003;13.0;0.026;19.0;0.027;19.0;0.015;20.0;0.019;13.0;0.02
literature/w_lesmis.txt;77;292;0.25;64;0.2;28.0;0.019;34.0;0.01;34.0;0.012;20.0;0.046;28.0;0.043;27.0;0.006;26.0;0.011;20.0;0.109;34.0;0.05;34.0;0.017;34.0;0.016;34.0;0.137;26.0;0.059;27.0;0.027;31.0;0.037;34.0;0.079
literature/w_lesmis.txt;77;292;0.5;64;0.2;38.0;0.032;36.0;0.014;24.0;0.008;23.0;0.109;26.0;0.049;26.0;0.012;36.0;0.015;31.0;0.189;32.0;0.054;31.0;0.015;36.0;0.017;34.0;0.124;31.0;0.056;31.0;0.034;36.0;0.045;34.0;0.072
literature/w_lesmis.txt;77;292;0.75;64;0.2;39.0;0.035;38.0;0.014;38.0;0.009;35.0;0.223;41.0;0.051;39.0;0.017;40.0;0.016;39.0;0.243;39.0;0.063;39.0;0.016;39.0;0.02;40.0;0.191;39.0;0.083;39.0;0.053;40.0;0.056;39.0;0.098
literature/w_lesmis.txt;77;292;1.0;64;0.2;44.0;0.039;44.0;0.018;44.0;0.016;38.0;0.563;43.0;0.07;44.0;0.028;44.0;0.028;44.0;0.299;44.0;0.054;44.0;0.022;44.0;0.024;43.0;0.202;43.0;0.077;42.0;0.058;44.0;0.06;44.0;0.095
