filename;numVertices;numEdges;kWeight;maxIterations;removeVerticesPercentage;insertionMethod;destructionMethod;reconstructionMethod;runtime(ms);size;solution
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.1;64;0.1;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;6082;11;[656, 595, 424, 1707, 492, 733, 1917, 1245, 541, 1054, 1743]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.1;64;0.2;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;4986;11;[656, 595, 789, 1543, 424, 492, 733, 1917, 1054, 1743, 815]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.1;64;0.3;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;5200;11;[656, 595, 1413, 424, 1130, 492, 733, 1917, 1245, 1054, 1743]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.1;64;0.4;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;6124;11;[656, 595, 789, 1382, 1543, 424, 492, 733, 1917, 1054, 1743]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.1;96;0.1;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;4474;11;[656, 595, 789, 1382, 1543, 424, 492, 733, 1917, 1054, 1743]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.1;96;0.2;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;5912;11;[656, 595, 424, 1707, 492, 733, 1917, 1245, 541, 1054, 1743]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.1;96;0.3;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;4205;11;[656, 850, 595, 789, 1543, 424, 492, 733, 1917, 1054, 1743]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.1;96;0.4;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;6109;11;[656, 595, 1413, 424, 1130, 492, 733, 1917, 1245, 1054, 1743]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.1;128;0.1;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;4716;11;[656, 595, 1957, 424, 1707, 492, 733, 1917, 1245, 1054, 1743]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.1;128;0.2;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;4799;11;[656, 595, 789, 1543, 424, 921, 492, 733, 1917, 1054, 1743]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.1;128;0.3;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;5954;11;[656, 595, 789, 1382, 1543, 424, 492, 733, 1917, 1054, 1743]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.1;128;0.4;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;6052;11;[1105, 595, 1109, 1765, 1495, 424, 1913, 1755, 492, 733, 1054]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.1;160;0.1;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;4531;11;[656, 595, 1957, 424, 1707, 492, 733, 1917, 1245, 1054, 1743]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.1;160;0.2;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;4452;11;[1105, 595, 1109, 1765, 1495, 424, 1913, 1755, 492, 733, 1054]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.1;160;0.3;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;6169;11;[1217, 595, 1092, 1172, 1317, 424, 1736, 492, 1916, 733, 1054]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.1;160;0.4;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;5805;11;[656, 595, 789, 1382, 1543, 424, 492, 733, 1917, 1054, 1743]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.25;64;0.1;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;6157;13;[576, 833, 1672, 1897, 1102, 210, 1683, 1461, 1175, 1787, 1565, 1183, 1791]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.25;64;0.2;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;7151;13;[833, 647, 1897, 618, 462, 1519, 657, 1461, 280, 1753, 1914, 1183, 1279]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.25;64;0.3;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;6260;13;[1952, 833, 1828, 1736, 1897, 651, 108, 301, 1776, 1328, 1565, 510, 1342]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.25;64;0.4;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;6569;13;[833, 776, 1896, 1897, 1258, 462, 657, 1972, 1461, 280, 1914, 1183, 1279]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.25;96;0.1;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;5494;13;[833, 1828, 932, 967, 1897, 971, 558, 1998, 207, 1231, 312, 282, 223]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.25;96;0.2;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;5477;13;[833, 1828, 932, 967, 1897, 971, 1997, 558, 207, 1431, 312, 571, 223]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.25;96;0.3;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;5844;13;[1792, 833, 1061, 1989, 1897, 1102, 1999, 1107, 1461, 1175, 855, 1183, 1791]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.25;96;0.4;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;8606;13;[833, 1828, 932, 967, 1897, 558, 1998, 207, 312, 571, 667, 28, 223]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.25;128;0.1;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;5685;13;[833, 1828, 932, 1958, 967, 1897, 971, 972, 558, 207, 312, 282, 223]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.25;128;0.2;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;7145;13;[1792, 833, 1061, 1989, 1897, 1102, 1999, 1107, 1461, 1175, 855, 1183, 1791]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.25;128;0.3;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;6484;13;[833, 1828, 932, 967, 712, 1897, 971, 558, 1998, 207, 1846, 312, 223]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.25;128;0.4;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;6767;13;[833, 1828, 932, 967, 712, 1897, 971, 1995, 558, 207, 1846, 312, 223]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.25;160;0.1;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;5620;13;[833, 1987, 1828, 932, 967, 1897, 971, 972, 558, 207, 312, 282, 223]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.25;160;0.2;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;5644;13;[833, 1828, 932, 967, 1897, 558, 1998, 207, 312, 571, 667, 28, 223]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.25;160;0.3;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;7034;13;[640, 833, 1828, 1189, 1991, 1897, 651, 108, 1998, 1776, 692, 1432, 1209]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.25;160;0.4;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;7643;13;[833, 129, 674, 419, 1768, 1897, 462, 1487, 1711, 1905, 1461, 1977, 1183]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.5;64;0.1;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;6653;15;[932, 1289, 875, 492, 588, 429, 1197, 46, 1747, 629, 1269, 1110, 888, 1944, 223]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.5;64;0.2;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;6918;15;[898, 706, 932, 875, 492, 588, 1996, 429, 1197, 46, 1747, 629, 1269, 1110, 223]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.5;64;0.3;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;6666;15;[1953, 932, 1289, 875, 492, 588, 429, 1197, 46, 1747, 629, 1269, 1110, 888, 223]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.5;64;0.4;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;8723;15;[1890, 932, 1258, 875, 1259, 492, 588, 429, 1197, 46, 1747, 629, 1269, 1110, 223]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.5;96;0.1;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;6933;15;[932, 875, 1259, 492, 588, 429, 1197, 46, 434, 1747, 629, 1269, 1110, 1915, 223]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.5;96;0.2;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;7856;15;[898, 706, 932, 875, 492, 588, 429, 1197, 46, 1999, 1747, 629, 1269, 1110, 223]
