filename;numVertices;numEdges;kWeight;maxIterations;removeVerticesPercentage;rxrSize;rxrTime;rxeSize;rxeTime;rxcoSize;rxcoTime;rxcmSize;rxcmTime;exrSize;exrTime;exeSize;exeTime;excoSize;excoTime;excmSize;excmTime;coxrSize;coxrTime;coxeSize;coxeTime;coxcoSize;coxcoTime;coxcmSize;coxcmTime;cmxrSize;cmxrTime;cmxeSize;cmxeTime;cmxcoSize;cmxcoTime;cmxcmSize;cmxcmTime
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.1;160;0.2;11;4.0;11;4.0;11;4.0;11;5.0;11;7.0;11;5.0;11;5.0;11;35.0;11;7.0;11;4.0;11;5.0;11;38.0;11;7.0;11;6.0;11;6.0;11;25.0
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.25;160;0.2;13;6.0;13;6.0;13;6.0;13;7.0;13;10.0;13;7.0;13;6.0;13;37.0;13;12.0;13;6.0;13;6.0;13;38.0;13;12.0;13;8.0;13;9.0;13;30.0
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.5;160;0.2;15;9.0;15;8.0;15;8.0;15;11.0;15;13.0;15;8.0;15;8.0;15;54.0;15;13.0;15;8.0;15;8.0;15;54.0;15;14.0;15;10.0;15;11.0;15;32.0
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.75;160;0.2;18;10.0;19;11.0;19;11.0;19;12.0;19;17.0;18;11.0;19;11.0;19;58.0;18;18.0;19;12.0;18;11.0;19;60.0;18;18.0;19;13.0;18;12.0;19;34.0
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;1.0;160;0.2;21;13.0;21;12.0;21;12.0;22;23.0;21;21.0;21;14.0;21;14.0;21;135.0;21;21.0;21;14.0;21;14.0;21;106.0;22;23.0;21;15.0;21;16.0;21;37.0
rerun/w_rnd_graph_1000_20_2.txt;1000;100400;0.1;160;0.2;14;1.0;14;1.0;14;1.0;14;1.0;14;3.0;14;1.0;14;1.0;14;9.0;14;2.0;14;1.0;14;1.0;14;10.0;14;2.0;14;1.0;14;1.0;14;6.0
rerun/w_rnd_graph_1000_20_2.txt;1000;100400;0.25;160;0.2;16;1.0;16;1.0;15;1.0;16;2.0;16;4.0;15;1.0;16;2.0;16;13.0;15;4.0;16;1.0;15;1.0;16;15.0;15;5.0;16;2.0;16;2.0;16;6.0
rerun/w_rnd_graph_1000_20_2.txt;1000;100400;0.5;160;0.2;18;1.0;18;2.0;18;2.0;18;3.0;18;5.0;18;2.0;18;2.0;18;14.0;18;6.0;18;2.0;18;2.0;18;13.0;18;5.0;18;2.0;18;2.0;18;7.0
rerun/w_rnd_graph_1000_20_2.txt;1000;100400;0.75;160;0.2;24;3.0;23;2.0;22;2.0;23;4.0;23;7.0;23;3.0;23;3.0;23;18.0;23;8.0;23;3.0;23;3.0;23;21.0;23;8.0;23;4.0;23;3.0;23;9.0
rerun/w_rnd_graph_1000_20_2.txt;1000;100400;1.0;160;0.2;28;4.0;28;4.0;29;4.0;28;7.0;26;9.0;28;4.0;27;3.0;26;84.0;28;10.0;27;4.0;27;4.0;27;31.0;28;11.0;27;5.0;27;4.0;27;12.0
rerun/w_rnd_graph_1000_50_3.txt;1000;250250;0.1;160;0.2;6;0.0;6;0.0;6;0.0;6;0.0;6;1.0;6;0.0;6;0.0;6;4.0;6;1.0;6;0.0;6;0.0;6;4.0;6;1.0;6;1.0;6;0.0;6;6.0
rerun/w_rnd_graph_1000_50_3.txt;1000;250250;0.25;160;0.2;7;0.0;7;0.0;7;0.0;7;0.0;7;1.0;7;0.0;7;0.0;7;5.0;7;1.0;7;1.0;7;1.0;7;5.0;7;1.0;7;1.0;7;1.0;7;5.0
rerun/w_rnd_graph_1000_50_3.txt;1000;250250;0.5;160;0.2;8;0.0;8;0.0;8;0.0;8;1.0;8;1.0;8;1.0;8;1.0;8;5.0;8;1.0;8;1.0;8;1.0;8;5.0;8;1.0;8;1.0;8;1.0;8;7.0
rerun/w_rnd_graph_1000_50_3.txt;1000;250250;0.75;160;0.2;10;1.0;10;1.0;10;1.0;10;1.0;10;2.0;10;1.0;10;1.0;10;10.0;10;2.0;10;1.0;10;1.0;10;9.0;10;2.0;10;1.0;10;1.0;10;6.0
rerun/w_rnd_graph_1000_50_3.txt;1000;250250;1.0;160;0.2;11;1.0;11;1.0;11;1.0;12;2.0;12;3.0;11;1.0;12;1.0;11;10.0;12;3.0;11;1.0;12;1.0;11;12.0;11;2.0;12;1.0;11;1.0;11;7.0
rerun/w_rnd_graph_2000_20_1.txt;2000;400800;0.1;160;0.2;16;7.0;16;7.0;16;7.0;16;7.0;16;13.0;16;7.0;16;7.0;16;52.0;16;14.0;16;7.0;16;8.0;16;70.0;16;15.0;16;8.0;16;9.0;16;29.0
rerun/w_rnd_graph_2000_20_1.txt;2000;400800;0.25;160;0.2;19;8.0;19;8.0;18;8.0;19;10.0;18;16.0;18;9.0;18;8.0;18;58.0;19;16.0;18;8.0;19;9.0;19;54.0;18;15.0;19;10.0;18;10.0;19;29.0
rerun/w_rnd_graph_2000_20_1.txt;2000;400800;0.5;160;0.2;21;10.0;20;9.0;21;10.0;21;11.0;21;20.0;20;10.0;20;10.0;21;73.0;21;23.0;20;10.0;20;11.0;20;84.0;21;22.0;21;13.0;21;12.0;20;31.0
rerun/w_rnd_graph_2000_20_1.txt;2000;400800;0.75;160;0.2;27;16.0;26;14.0;27;15.0;27;21.0;26;27.0;26;14.0;26;15.0;27;93.0;26;32.0;26;17.0;26;16.0;26;218.0;27;29.0;26;17.0;27;18.0;27;38.0
rerun/w_rnd_graph_2000_20_1.txt;2000;400800;1.0;160;0.2;32;22.0;30;20.0;31;21.0;31;36.0;29;33.0;31;21.0;30;20.0;31;230.0;31;37.0;30;19.0;32;19.0;30;126.0;32;38.0;29;21.0;31;23.0;29;45.0
rerun/w_rnd_graph_2000_40_2.txt;2000;800600;0.1;160;0.2;9;3.0;8;4.0;8;3.0;8;3.0;8;5.0;8;4.0;9;4.0;8;18.0;9;4.0;9;4.0;8;4.0;9;20.0;9;6.0;9;6.0;9;5.0;9;25.0
rerun/w_rnd_graph_2000_40_2.txt;2000;800600;0.25;160;0.2;9;3.0;9;5.0;9;4.0;10;8.0;10;8.0;9;5.0;10;5.0;9;20.0;10;8.0;10;6.0;9;5.0;10;55.0;9;7.0;9;5.0;9;5.0;10;25.0
rerun/w_rnd_graph_2000_40_2.txt;2000;800600;0.5;160;0.2;12;6.0;12;6.0;11;6.0;12;6.0;12;9.0;11;6.0;12;7.0;12;37.0;12;9.0;11;6.0;12;8.0;12;40.0;11;10.0;11;7.0;12;8.0;11;25.0
rerun/w_rnd_graph_2000_40_2.txt;2000;800600;0.75;160;0.2;14;9.0;14;9.0;15;9.0;14;10.0;15;15.0;14;9.0;15;10.0;14;40.0;15;13.0;15;10.0;14;9.0;14;41.0;14;13.0;15;12.0;14;10.0;15;34.0
rerun/w_rnd_graph_2000_40_2.txt;2000;800600;1.0;160;0.2;16;10.0;16;10.0;16;10.0;16;14.0;17;16.0;16;10.0;17;11.0;17;67.0;16;15.0;16;11.0;16;11.0;16;60.0;16;19.0;16;12.0;16;13.0;16;33.0
rerun/w_rnd_graph_3000_40_3.txt;3000;1800900;0.1;160;0.2;9;9.0;9;10.0;9;10.0;9;10.0;9;12.0;9;9.0;9;10.0;9;40.0;9;13.0;9;10.0;9;11.0;9;42.0;9;14.0;9;12.0;9;11.0;9;45.0
rerun/w_rnd_graph_3000_40_3.txt;3000;1800900;0.25;160;0.2;11;13.0;11;12.0;10;11.0;11;11.0;11;15.0;11;12.0;11;12.0;11;72.0;10;15.0;11;12.0;11;14.0;10;70.0;11;20.0;10;13.0;11;15.0;11;53.0
rerun/w_rnd_graph_3000_40_3.txt;3000;1800900;0.5;160;0.2;12;15.0;12;14.0;12;14.0;12;14.0;12;20.0;12;16.0;12;15.0;12;73.0;12;18.0;12;15.0;12;14.0;12;80.0;12;22.0;12;17.0;12;17.0;12;57.0
rerun/w_rnd_graph_3000_40_3.txt;3000;1800900;0.75;160;0.2;14;19.0;15;19.0;15;19.0;14;23.0;15;27.0;15;22.0;14;19.0;14;78.0;15;26.0;14;19.0;15;20.0;15;109.0;15;31.0;15;26.0;14;23.0;14;68.0
rerun/w_rnd_graph_3000_40_3.txt;3000;1800900;1.0;160;0.2;16;24.0;16;23.0;16;22.0;17;35.0;17;33.0;16;22.0;16;24.0;17;125.0;16;32.0;16;24.0;18;29.0;17;120.0;17;36.0;16;27.0;18;32.0;16;73.0
rerun/w_rnd_graph_1000_50_2.txt;1000;250250;0.1;160;0.2;6;0.0;6;0.0;6;0.0;6;0.0;6;1.0;6;0.0;6;0.0;6;5.0;6;0.0;6;0.0;6;0.0;6;4.0;6;1.0;6;0.0;6;0.0;6;5.0
rerun/w_rnd_graph_1000_50_2.txt;1000;250250;0.25;160;0.2;7;0.0;7;0.0;7;0.0;7;1.0;7;1.0;7;0.0;7;0.0;7;5.0;7;1.0;7;0.0;7;0.0;7;5.0;7;1.0;7;1.0;7;1.0;7;6.0
