filename;numVertices;numEdges;kWeight;maxIterations;removeVerticesPercentage;rxrOF;rxrTime;rxeOF;rxeTime;rxcoOF;rxcoTime;rxcmOF;rxcmTime;exrOF;exrTime;exeOF;exeTime;excoOF;excoTime;excmOF;excmTime;coxrOF;coxrTime;coxeOF;coxeTime;coxcoOF;coxcoTime;coxcmOF;coxcmTime;cmxrOF;cmxrTime;cmxeOF;cmxeTime;cmxcoOF;cmxcoTime;cmxcmOF;cmxcmTime
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.1;64;0.2;16.0;0.074;16.0;0.075;17.0;0.024;16.0;0.777;16.0;0.322;16.0;0.156;15.0;0.126;14.0;18.559;16.0;0.474;15.0;0.158;17.0;0.156;14.0;17.419;15.0;1.534;16.0;1.301;16.0;1.433;17.0;11.963
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.25;64;0.2;18.0;0.044;18.0;0.056;17.0;0.039;17.0;2.428;18.0;0.357;18.0;0.211;18.0;0.242;16.0;25.926;18.0;0.489;17.0;0.266;20.0;0.329;17.0;35.074;19.0;1.769;19.0;1.718;18.0;1.497;17.0;13.745
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.5;64;0.2;22.0;0.061;22.0;0.054;21.0;0.038;20.0;2.762;22.0;0.493;22.0;0.257;20.0;0.267;18.0;31.634;21.0;0.505;22.0;0.237;20.0;0.299;18.0;25.085;21.0;2.62;22.0;2.379;20.0;1.926;21.0;13.439
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.75;64;0.2;24.0;0.065;24.0;0.056;25.0;0.068;24.0;2.09;23.0;0.671;24.0;0.268;24.0;0.228;21.0;51.571;24.0;0.604;24.0;0.351;23.0;0.413;21.0;49.435;26.0;3.263;24.0;2.217;23.0;2.446;25.0;17.103
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;1.0;64;0.2;27.0;0.099;27.0;0.072;26.0;0.099;25.0;3.532;28.0;0.654;25.0;0.358;27.0;0.331;24.0;36.175;25.0;0.989;28.0;0.49;26.0;0.74;23.0;49.252;27.0;2.964;25.0;2.528;25.0;2.631;26.0;13.976
rerun/w_rnd_graph_1000_20_2.txt;1000;100400;0.1;64;0.2;22.0;0.02;19.0;0.017;22.0;0.028;20.0;0.365;24.0;0.175;20.0;0.095;22.0;0.076;19.0;6.558;21.0;0.23;20.0;0.144;19.0;0.1;17.0;8.295;20.0;0.398;20.0;0.335;21.0;0.336;22.0;2.832
rerun/w_rnd_graph_1000_20_2.txt;1000;100400;0.25;64;0.2;24.0;0.052;24.0;0.038;24.0;0.028;23.0;1.781;24.0;0.369;24.0;0.101;23.0;0.111;21.0;10.773;24.0;0.387;25.0;0.165;22.0;0.181;20.0;10.119;23.0;0.53;24.0;0.388;24.0;0.421;24.0;4.164
rerun/w_rnd_graph_1000_20_2.txt;1000;100400;0.5;64;0.2;28.0;0.06;28.0;0.037;29.0;0.052;28.0;2.469;28.0;0.284;25.0;0.144;28.0;0.149;24.0;14.351;27.0;0.309;28.0;0.202;26.0;0.176;24.0;11.609;26.0;0.58;28.0;0.481;27.0;0.504;26.0;3.488
rerun/w_rnd_graph_1000_20_2.txt;1000;100400;0.75;64;0.2;30.0;0.102;33.0;0.071;32.0;0.054;33.0;2.806;31.0;0.385;32.0;0.179;29.0;0.227;26.0;17.406;29.0;0.441;33.0;0.218;33.0;0.226;27.0;14.197;31.0;0.771;30.0;0.618;31.0;0.632;32.0;4.666
rerun/w_rnd_graph_1000_20_2.txt;1000;100400;1.0;64;0.2;34.0;0.086;36.0;0.055;35.0;0.064;35.0;2.9;31.0;0.468;33.0;0.149;37.0;0.175;28.0;23.116;35.0;0.56;36.0;0.219;35.0;0.275;28.0;33.863;35.0;0.902;47.0;1.251;36.0;0.812;34.0;3.655
rerun/w_rnd_graph_1000_50_3.txt;1000;250250;0.1;64;0.2;8.0;0.005;8.0;0.005;8.0;0.002;8.0;0.003;8.0;0.045;8.0;0.01;8.0;0.012;8.0;1.643;8.0;0.045;9.0;0.026;8.0;0.031;8.0;1.691;8.0;0.203;8.0;0.209;7.0;0.198;8.0;2.735
rerun/w_rnd_graph_1000_50_3.txt;1000;250250;0.25;64;0.2;10.0;0.002;10.0;0.006;9.0;0.007;10.0;0.005;9.0;0.107;11.0;0.023;9.0;0.016;9.0;1.895;9.0;0.064;10.0;0.044;10.0;0.048;10.0;4.253;10.0;0.326;9.0;0.259;10.0;0.311;10.0;3.15
