filename;numVertices;numEdges;kWeight;maxIterations;removeVerticesPercentage;rxrOF;rxrTime;rxeOF;rxeTime;rxcoOF;rxcoTime;rxcmOF;rxcmTime;exrOF;exrTime;exeOF;exeTime;excoOF;excoTime;excmOF;excmTime;coxrOF;coxrTime;coxeOF;coxeTime;coxcoOF;coxcoTime;coxcmOF;coxcmTime;cmxrOF;cmxrTime;cmxeOF;cmxeTime;cmxcoOF;cmxcoTime;cmxcmOF;cmxcmTime
subset/MOD_w_rnd_graph_4000_50_1.txt;4000;4001000;0.1;64;0.2;10.0;0.063;9.0;0.048;10.0;0.121;10.0;0.014;9.0;0.455;10.0;0.2;10.0;0.175;9.0;30.824;10.0;0.534;10.0;0.142;10.0;0.295;9.0;31.794;10.0;4.68;10.0;5.449;11.0;5.86;10.0;50.521
subset/MOD_w_rnd_graph_4000_50_1.txt;4000;4001000;0.25;64;0.2;14.0;0.032;13.0;0.027;13.0;0.033;14.0;4.356;12.0;0.731;13.0;0.146;12.0;0.415;12.0;61.638;13.0;0.477;12.0;0.255;13.0;0.397;12.0;59.34;13.0;7.553;13.0;7.553;12.0;6.675;13.0;60.117
subset/MOD_w_rnd_graph_4000_50_1.txt;4000;4001000;0.5;64;0.2;16.0;0.045;14.0;0.072;14.0;0.058;15.0;0.066;16.0;0.622;15.0;0.354;14.0;0.471;14.0;69.89;15.0;0.773;15.0;0.432;15.0;0.49;14.0;77.722;14.0;8.177;14.0;7.916;15.0;8.639;14.0;64.361
subset/MOD_w_rnd_graph_4000_50_1.txt;4000;4001000;0.75;64;0.2;18.0;0.09;18.0;0.071;17.0;0.087;18.0;11.876;17.0;0.78;17.0;0.298;17.0;1.006;15.0;121.768;17.0;1.023;17.0;0.673;16.0;0.588;15.0;109.681;16.0;9.308;18.0;10.351;17.0;9.474;18.0;71.131
subset/MOD_w_rnd_graph_4000_50_1.txt;4000;4001000;1.0;64;0.2;19.0;0.067;19.0;0.088;18.0;0.108;18.0;5.601;18.0;0.953;18.0;0.382;18.0;0.577;17.0;118.038;19.0;1.052;19.0;0.839;19.0;0.492;17.0;133.818;18.0;10.871;19.0;10.785;17.0;9.557;19.0;69.891
subset/MOD_w_rnd_graph_500_30_1.txt;500;37675;0.1;64;0.2;12.0;0.008;12.0;0.004;14.0;0.005;13.0;0.106;13.0;0.055;14.0;0.013;13.0;0.031;12.0;1.621;13.0;0.049;13.0;0.015;12.0;0.04;13.0;1.53;11.0;0.083;13.0;0.066;13.0;0.071;12.0;0.894
subset/MOD_w_rnd_graph_500_30_1.txt;500;37675;0.25;64;0.2;16.0;0.011;16.0;0.009;14.0;0.005;16.0;0.094;14.0;0.116;16.0;0.045;15.0;0.034;15.0;2.18;16.0;0.075;16.0;0.039;17.0;0.037;13.0;1.451;16.0;0.146;15.0;0.101;15.0;0.106;16.0;0.951
subset/MOD_w_rnd_graph_500_30_1.txt;500;37675;0.5;64;0.2;19.0;0.014;19.0;0.007;19.0;0.012;18.0;0.269;18.0;0.089;19.0;0.028;19.0;0.037;16.0;2.396;18.0;0.092;19.0;0.052;19.0;0.044;17.0;2.177;18.0;0.175;19.0;0.117;19.0;0.117;21.0;1.157
subset/MOD_w_rnd_graph_500_30_1.txt;500;37675;0.75;64;0.2;22.0;0.02;21.0;0.02;21.0;0.008;20.0;0.424;20.0;0.119;21.0;0.048;23.0;0.058;18.0;2.073;22.0;0.135;21.0;0.063;22.0;0.072;18.0;2.655;22.0;0.213;23.0;0.161;20.0;0.155;22.0;1.19
subset/MOD_w_rnd_graph_500_30_1.txt;500;37675;1.0;64;0.2;23.0;0.029;23.0;0.016;23.0;0.014;24.0;0.492;23.0;0.129;22.0;0.061;23.0;0.042;18.0;2.523;23.0;0.163;23.0;0.064;22.0;0.109;19.0;2.993;23.0;0.209;22.0;0.174;23.0;0.169;24.0;1.181
