graph;K;solution;size;gap;runtime(s);optimal?
w_rnd_graph_500_20_2.txt;0.1;[65, 121, 202, 203, 219, 302, 343, 351, 370, 413, 465, 491];12;0.4166666666666667;1800.0;False
w_rnd_graph_500_20_2.txt;0.25;[95, 125, 183, 185, 194, 220, 243, 269, 334, 363, 394, 408, 458];13;0.38461538461538464;1800.01;False
w_rnd_graph_500_20_2.txt;0.5;[89, 104, 125, 184, 201, 203, 229, 239, 257, 289, 340, 360, 361, 375, 381, 432];16;0.4375;1800.01;False
w_rnd_graph_500_20_2.txt;0.75;[51, 73, 92, 104, 120, 123, 157, 197, 201, 209, 308, 355, 375, 408, 413, 432, 470, 471, 477, 478];20;0.5;1800.01;False
w_rnd_graph_500_20_2.txt;1;[2, 9, 22, 38, 60, 74, 86, 111, 139, 151, 182, 183, 184, 239, 258, 264, 339, 343, 385, 418, 425, 490];22;0.45454545454545453;1800.01;False
w_rnd_graph_1000_20_1.txt;0.1;[1, 84, 156, 221, 368, 532, 556, 619, 620, 691, 762, 912, 941, 952];14;0.5714285714285714;1800.01;False
w_rnd_graph_1000_20_1.txt;0.25;[11, 62, 84, 274, 353, 380, 398, 459, 460, 521, 556, 700, 862, 886, 912, 931];16;0.5625;1800.01;False
w_rnd_graph_1000_20_1.txt;0.5;[130, 156, 213, 221, 224, 295, 356, 400, 431, 489, 521, 552, 619, 647, 825, 872, 878, 883];18;0.5555555555555556;1800.02;False
w_rnd_graph_1000_20_1.txt;0.75;[40, 51, 62, 130, 156, 221, 233, 234, 258, 399, 442, 531, 567, 580, 594, 611, 704, 808, 877, 895, 941, 964, 999];23;0.6086956521739131;1800.02;False
w_rnd_graph_1000_20_1.txt;1;[7, 22, 28, 47, 112, 157, 189, 191, 223, 225, 326, 345, 357, 435, 458, 521, 573, 620, 731, 781, 796, 893, 912, 929, 975, 990];26;0.6153846153846154;1800.02;False
w_rnd_graph_4000_20_1.txt;0.1;[325, 362, 619, 846, 874, 1021, 1168, 1272, 1685, 1732, 1946, 2277, 2361, 2388, 2482, 2796, 2850, 3082, 3342, 3791, 3913, 3975];22;0.7272727272727273;1800.1;False
w_rnd_graph_4000_20_1.txt;0.25;[233, 345, 846, 1144, 1332, 1368, 1489, 1573, 1734, 1757, 1778, 2040, 2094, 2108, 2533, 2652, 2727, 3142, 3284, 3329, 3370, 3584, 3660, 3833];24;0.75;1800.13;False
w_rnd_graph_4000_20_1.txt;0.5;[53, 457, 462, 472, 556, 1089, 1134, 1551, 1560, 1900, 2025, 2042, 2068, 2086, 2311, 2566, 2672, 2681, 2744, 2783, 2796, 2942, 3003, 3025, 3602, 3975, 3985];27;0.7407407407407407;1801.25;False
w_rnd_graph_4000_20_1.txt;0.75;[35, 79, 143, 179, 300, 384, 420, 601, 756, 846, 1209, 1300, 1359, 1445, 1785, 1930, 2020, 2050, 2086, 2283, 2290, 2318, 2327, 2371, 2727, 2783, 2870, 3409, 3468, 3709, 3776];31;0.7419354838709677;1800.03;False
w_rnd_graph_4000_20_1.txt;1;[68, 81, 400, 492, 507, 623, 757, 989, 1211, 1472, 1519, 1595, 1676, 1722, 1729, 1762, 2108, 2169, 2345, 2435, 2681, 2759, 2868, 3025, 3120, 3128, 3135, 3140, 3274, 3409, 3625, 3637, 3766, 3790];34;0.7058823529411765;1800.57;False
w_rnd_graph_2000_20_1.txt;0.1;[86, 136, 180, 184, 286, 334, 356, 575, 577, 884, 948, 959, 1342, 1430, 1830, 1838, 1983];17;0.6470588235294118;1800.09;False
w_rnd_graph_2000_20_1.txt;0.25;[9, 48, 184, 681, 771, 787, 914, 948, 1142, 1151, 1208, 1442, 1540, 1680, 1681, 1766, 1849, 1862, 1971, 1995];20;0.7;1800.09;False
w_rnd_graph_2000_20_1.txt;0.5;[9, 10, 81, 185, 259, 280, 300, 314, 344, 424, 548, 834, 856, 920, 933, 987, 1063, 1084, 1115, 1250, 1433, 1729];22;0.6818181818181818;1800.05;False
w_rnd_graph_2000_20_1.txt;0.75;[7, 9, 10, 48, 73, 184, 217, 291, 300, 332, 355, 370, 420, 959, 963, 1031, 1051, 1303, 1430, 1523, 1556, 1566, 1621, 1657, 1799, 1944];26;0.6923076923076923;1800.05;False
w_rnd_graph_2000_20_1.txt;1;[10, 122, 128, 259, 291, 300, 332, 348, 454, 548, 567, 589, 692, 736, 749, 785, 910, 1108, 1115, 1156, 1261, 1341, 1350, 1433, 1523, 1547, 1815, 1908, 1911];29;0.6551724137931034;1800.06;False
w_rnd_graph_2000_50_1.txt;0.1;[71, 500, 983, 1309, 1318, 1527, 1978];7;0.5714285714285714;1800.06;False
w_rnd_graph_2000_50_1.txt;0.25;[371, 398, 457, 626, 1115, 1583, 1806, 1843];8;0.625;1800.06;False
w_rnd_graph_2000_50_1.txt;0.5;[89, 98, 276, 327, 661, 843, 873, 986, 1475, 1525];10;0.7;1800.05;False
w_rnd_graph_2000_50_1.txt;0.75;[123, 160, 705, 735, 743, 1400, 1490, 1637, 1765, 1784, 1933];11;0.6363636363636364;1800.11;False
w_rnd_graph_2000_50_1.txt;1;[449, 507, 550, 689, 760, 821, 1068, 1151, 1190, 1266, 1271, 1623, 1907];13;0.6923076923076923;1800.09;False
w_rnd_graph_3000_50_1.txt;0.1;[84, 394, 1081, 1150, 1340, 1381, 2174, 2175];8;0.625;1800.02;False
w_rnd_graph_3000_50_1.txt;0.25;[166, 1159, 1279, 2415, 2626, 2738, 2752, 2807, 2947];9;0.6666666666666666;1800.23;False
w_rnd_graph_3000_50_1.txt;0.5;[88, 195, 407, 546, 557, 688, 731, 893, 1061, 2916, 2942];11;0.7272727272727273;1800.01;False
w_rnd_graph_3000_50_1.txt;0.75;[125, 236, 280, 412, 463, 937, 1352, 1773, 2338, 2506, 2701, 2939];12;0.6666666666666666;1800.09;False
w_rnd_graph_3000_50_1.txt;1;[356, 660, 844, 1009, 1125, 1394, 1481, 1750, 1906, 1972, 2291, 2603, 2716, 2791];14;0.7142857142857143;1800.01;False
w_rnd_graph_1000_50_1.txt;0.1;[179, 244, 294, 362, 510, 761];6;0.5;1800.28;False
w_rnd_graph_1000_50_1.txt;0.25;[2, 404, 550, 624, 687, 752, 863];7;0.5714285714285714;1800.02;False
w_rnd_graph_1000_50_1.txt;0.5;[63, 148, 322, 425, 439, 550, 858, 980];8;0.625;1800.04;False
w_rnd_graph_1000_50_1.txt;0.75;[1, 111, 246, 406, 496, 597, 643, 649, 673, 687];10;0.6;1800.04;False
w_rnd_graph_1000_50_1.txt;1;[6, 91, 148, 169, 211, 334, 462, 558, 610, 913, 979];11;0.6363636363636364;1800.11;False
w_rnd_graph_3000_20_1.txt;0.1;[9, 41, 285, 450, 479, 572, 668, 802, 859, 1100, 1166, 1232, 1591, 1649, 1937, 2172, 2310, 2604, 2630];19;0.6842105263157895;1800.12;False
w_rnd_graph_3000_20_1.txt;0.25;[35, 105, 572, 694, 709, 802, 1006, 1166, 1276, 1301, 1376, 1530, 1536, 1537, 1597, 1635, 1715, 2271, 2281, 2359, 2832, 2838];22;0.7272727272727273;1800.17;False
