graph;K;solution;size;gap;runtime(s);optimal?
w_lit_graph_100_30_3.txt;0.1;[0, 4, 14, 71, 74, 79];6;0.0;1.28;True
w_lit_graph_100_30_3.txt;0.25;[21, 32, 39, 41, 56, 71];6;0.0;0.52;True
w_lit_graph_100_30_3.txt;0.5;[4, 13, 18, 39, 43, 58, 59];7;0.0;0.72;True
w_lit_graph_100_30_3.txt;0.75;[0, 4, 14, 39, 44, 59, 61, 71, 79];9;0.0;8.53;True
w_lit_graph_100_30_3.txt;1;[4, 13, 14, 44, 59, 63, 71, 74, 75, 79];10;0.0;7.73;True
w_lit_graph_300_20_3.txt;0.1;[19, 27, 30, 53, 148, 151, 156, 200, 203, 233];10;0.2;900.19;False
w_lit_graph_300_20_3.txt;0.25;[27, 43, 62, 69, 119, 132, 143, 151, 163, 164, 232];11;0.2727272727272727;900.02;False
w_lit_graph_300_20_3.txt;0.5;[16, 40, 47, 49, 81, 83, 96, 128, 142, 235, 240, 268, 289, 296];14;0.35714285714285715;900.18;False
w_lit_graph_300_20_3.txt;0.75;[7, 26, 72, 73, 97, 102, 117, 142, 148, 151, 155, 200, 205, 214, 220, 296];16;0.375;900.17;False
w_lit_graph_300_20_3.txt;1;[14, 19, 26, 36, 40, 43, 89, 96, 142, 151, 171, 195, 235, 247, 260, 277, 289, 294];18;0.3333333333333333;900.03;False
w_lit_graph_100_40_2.txt;0.1;[49, 77, 78, 95];4;0.0;0.15;True
w_lit_graph_100_40_2.txt;0.25;[35, 47, 78, 80, 85];5;0.0;1.04;True
w_lit_graph_100_40_2.txt;0.5;[0, 20, 35, 78, 80, 85];6;0.0;2.6;True
w_lit_graph_100_40_2.txt;0.75;[4, 28, 47, 78, 84, 85, 95];7;0.0;3.87;True
w_lit_graph_100_40_2.txt;1;[35, 40, 46, 47, 62, 66, 78, 85];8;0.0;6.91;True
w_lit_graph_300_50_2.txt;0.1;[23, 105, 176, 264];4;0.0;34.55;True
w_lit_graph_300_50_2.txt;0.25;[7, 23, 110, 119, 182];5;0.0;371.92;True
w_lit_graph_300_50_2.txt;0.5;[5, 7, 14, 148, 199, 284];6;0.16666666666666666;900.01;False
w_lit_graph_300_50_2.txt;0.75;[23, 33, 131, 156, 207, 237, 277, 280];8;0.375;900.06;False
w_lit_graph_300_50_2.txt;1;[78, 113, 151, 182, 207, 216, 255, 282, 290];9;0.3333333333333333;900.03;False
w_lit_graph_200_50_3.txt;0.1;[25, 35, 143, 167];4;0.0;5.56;True
w_lit_graph_200_50_3.txt;0.25;[28, 90, 91, 114, 132];5;0.0;36.15;True
w_lit_graph_200_50_3.txt;0.5;[30, 101, 116, 123, 127, 179];6;0.0;534.99;True
w_lit_graph_200_50_3.txt;0.75;[12, 35, 43, 56, 128, 167, 180];7;0.14285714285714285;900.05;False
w_lit_graph_200_50_3.txt;1;[2, 41, 43, 147, 161, 173, 189, 190];8;0.125;900.16;False
w_lit_graph_200_20_1.txt;0.1;[12, 13, 14, 28, 93, 104, 108, 119, 158];9;0.0;122.96;True
w_lit_graph_200_20_1.txt;0.25;[19, 21, 34, 58, 97, 121, 131, 153, 157, 179];10;0.0;605.49;True
w_lit_graph_200_20_1.txt;0.5;[44, 76, 84, 108, 115, 118, 125, 131, 152, 154, 155, 197];12;0.16666666666666666;900.1;False
w_lit_graph_200_20_1.txt;0.75;[0, 21, 33, 44, 51, 58, 108, 118, 121, 131, 137, 154, 157, 182, 197];15;0.26666666666666666;900.09;False
w_lit_graph_200_20_1.txt;1;[0, 21, 34, 62, 78, 104, 108, 115, 116, 121, 131, 137, 151, 160, 169, 189, 197];17;0.29411764705882354;900.21;False
w_lit_graph_400_50_3.txt;0.1;[75, 86, 101, 135, 178];5;0.2;900.07;False
w_lit_graph_400_50_3.txt;0.25;[17, 74, 130, 140, 284, 356];6;0.3333333333333333;900.01;False
w_lit_graph_400_50_3.txt;0.5;[39, 52, 104, 156, 211, 299, 399];7;0.42857142857142855;900.05;False
w_lit_graph_400_50_3.txt;0.75;[3, 9, 76, 88, 93, 142, 374, 390];8;0.375;900.05;False
w_lit_graph_400_50_3.txt;1;[2, 76, 90, 113, 115, 130, 133, 140, 346];9;0.4444444444444444;900.08;False
w_lit_graph_100_50_4.txt;0.1;[91, 97, 98, 99];4;0.0;0.6;True
w_lit_graph_100_50_4.txt;0.25;[23, 24, 41, 91];4;0.0;0.63;True
w_lit_graph_100_50_4.txt;0.5;[23, 24, 41, 42, 96];5;0.0;1.18;True
w_lit_graph_100_50_4.txt;0.75;[41, 42, 79, 90, 91, 96];6;0.0;4.87;True
w_lit_graph_100_50_4.txt;1;[18, 24, 41, 54, 90, 91];6;0.0;2.55;True
w_lit_graph_100_20_2.txt;0.1;[33, 36, 62, 67, 76, 84, 93];7;0.0;0.55;True
w_lit_graph_100_20_2.txt;0.25;[33, 43, 46, 48, 65, 67, 76, 96, 99];9;0.0;0.84;True
w_lit_graph_100_20_2.txt;0.5;[17, 22, 35, 58, 62, 67, 85, 90, 93, 96];10;0.0;1.39;True
w_lit_graph_100_20_2.txt;0.75;[0, 3, 19, 22, 36, 40, 43, 49, 62, 67, 80, 96];12;0.0;52.74;True
w_lit_graph_100_20_2.txt;1;[7, 23, 43, 46, 48, 53, 55, 59, 65, 67, 70, 71, 84, 85];14;0.0;47.92;True
w_lit_graph_300_50_3.txt;0.1;[71, 137, 218, 252];4;0.0;7.55;True
w_lit_graph_300_50_3.txt;0.25;[43, 63, 95, 149, 163];5;0.0;239.04;True
w_lit_graph_300_50_3.txt;0.5;[28, 46, 63, 116, 244, 253];6;0.16666666666666666;900.01;False
w_lit_graph_300_50_3.txt;0.75;[51, 102, 139, 147, 165, 184, 271, 279];8;0.375;900.05;False
w_lit_graph_300_50_3.txt;1;[17, 42, 63, 71, 88, 96, 97, 168, 281];9;0.3333333333333333;900.1;False
w_lit_graph_200_30_2.txt;0.1;[18, 75, 131, 146, 154, 160, 161];7;0.0;85.7;True
w_lit_graph_200_30_2.txt;0.25;[13, 15, 54, 60, 71, 112, 122];7;0.0;51.87;True
