filename;numVertices;numEdges;kWeight;maxIterations;removeVerticesPercentage;insertionMethod;destructionMethod;reconstructionMethod;runtime(ms);size;solution
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.1;64;0.1;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;EDGE_BASED_RECONSTRUCTION;5195;11;[656, 850, 595, 789, 1543, 424, 492, 733, 1917, 1054, 1743]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.1;64;0.2;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;EDGE_BASED_RECONSTRUCTION;4735;11;[656, 595, 1957, 424, 1707, 492, 733, 1917, 1245, 1054, 1743]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.1;64;0.3;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;EDGE_BASED_RECONSTRUCTION;4730;11;[1105, 595, 1109, 837, 1495, 424, 1913, 1755, 492, 733, 1054]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.1;64;0.4;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;EDGE_BASED_RECONSTRUCTION;4727;11;[1105, 595, 1109, 1495, 424, 1913, 1755, 492, 733, 1054, 607]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.1;96;0.1;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;EDGE_BASED_RECONSTRUCTION;4896;11;[656, 595, 424, 1707, 492, 733, 1917, 1245, 541, 1054, 1743]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.1;96;0.2;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;EDGE_BASED_RECONSTRUCTION;4808;11;[1105, 595, 1109, 1495, 424, 1913, 1755, 492, 733, 1054, 607]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.1;96;0.3;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;EDGE_BASED_RECONSTRUCTION;4922;11;[656, 595, 1957, 424, 1707, 492, 733, 1917, 1245, 1054, 1743]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.1;96;0.4;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;EDGE_BASED_RECONSTRUCTION;4805;11;[1217, 595, 1092, 1172, 1765, 424, 1736, 492, 733, 1054, 447]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.1;128;0.1;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;EDGE_BASED_RECONSTRUCTION;4750;11;[1554, 595, 1092, 1172, 727, 424, 1736, 1115, 492, 733, 1054]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.1;128;0.2;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;EDGE_BASED_RECONSTRUCTION;4587;11;[1217, 595, 1092, 1172, 1317, 424, 1736, 492, 1916, 733, 1054]
