filename;numVertices;numEdges;kWeight;maxIterations;removeVerticesPercentage;wheelIterations;runtime(ms);size;solution
literature/w_dolphins.txt;62;190;0.1;160;0.2;32;60021;14;[33, 38, 14, 46, 17, 51, 56, 57, 59, 27, 60, 61, 29, 30]
literature/w_dolphins.txt;62;190;0.25;160;0.2;32;81;19;[36, 44, 12, 13, 45, 14, 46, 48, 17, 51, 20, 22, 56, 25, 58, 60, 61, 29, 30]
literature/w_dolphins.txt;62;190;0.5;160;0.2;32;61;22;[1, 37, 39, 42, 43, 44, 12, 13, 45, 48, 49, 51, 19, 22, 56, 58, 59, 27, 60, 29, 61, 31]
literature/w_dolphins.txt;62;190;0.75;160;0.2;32;116;27;[1, 4, 11, 12, 13, 14, 22, 25, 31, 32, 35, 36, 37, 40, 42, 43, 44, 45, 47, 48, 49, 51, 54, 56, 58, 60, 61]
literature/w_dolphins.txt;62;190;1.0;160;0.2;32;60125;30;[0, 1, 4, 11, 12, 13, 15, 22, 25, 30, 31, 32, 34, 35, 36, 37, 38, 44, 46, 47, 48, 50, 51, 52, 56, 57, 58, 59, 60, 61]
literature/w_lesmis.txt;77;292;0.1;160;0.2;32;31;10;[48, 0, 49, 51, 67, 23, 25, 11, 28, 46]
literature/w_lesmis.txt;77;292;0.25;160;0.2;32;61;17;[0, 32, 38, 9, 74, 10, 11, 45, 46, 48, 49, 51, 21, 23, 24, 25, 57]
literature/w_lesmis.txt;77;292;0.5;160;0.2;32;92;23;[0, 32, 35, 4, 73, 9, 10, 11, 45, 46, 15, 48, 50, 52, 20, 21, 53, 55, 56, 25, 57, 27, 31]
literature/w_lesmis.txt;77;292;0.75;160;0.2;32;159;36;[0, 2, 4, 70, 7, 8, 73, 9, 74, 10, 11, 76, 13, 14, 15, 16, 22, 23, 28, 31, 32, 33, 37, 39, 40, 42, 45, 46, 47, 50, 52, 53, 55, 56, 57, 59]
literature/w_lesmis.txt;77;292;1.0;160;0.2;32;213;40;[0, 1, 2, 67, 68, 4, 5, 7, 8, 73, 9, 74, 10, 11, 76, 12, 13, 14, 15, 18, 19, 23, 25, 26, 28, 30, 32, 33, 35, 40, 42, 45, 46, 47, 50, 52, 53, 55, 56, 60]
literature/w_david.txt;87;449;0.1;160;0.2;32;1;2;[82, 84]
literature/w_david.txt;87;449;0.25;160;0.2;32;60034;8;[65, 81, 82, 18, 73, 74, 75, 47]
literature/w_david.txt;87;449;0.5;160;0.2;32;60019;15;[64, 65, 35, 73, 74, 76, 13, 47, 81, 82, 18, 84, 25, 60, 61]
literature/w_david.txt;87;449;0.75;160;0.2;32;106;23;[64, 1, 33, 35, 68, 70, 38, 8, 41, 74, 14, 47, 81, 82, 18, 19, 83, 84, 23, 24, 25, 61, 63]
literature/w_david.txt;87;449;1.0;160;0.2;32;60095;30;[64, 65, 66, 68, 69, 70, 72, 9, 74, 75, 13, 77, 81, 82, 84, 86, 24, 25, 37, 38, 46, 47, 48, 51, 55, 56, 59, 61, 62, 63]
literature/w_anna.txt;138;562;0.1;160;0.2;32;106;12;[35, 132, 134, 71, 73, 137, 44, 17, 85, 121, 29, 94]
literature/w_anna.txt;138;562;0.25;160;0.2;32;202;19;[1, 35, 132, 100, 134, 71, 136, 137, 73, 106, 42, 17, 85, 86, 55, 26, 94, 95, 63]
literature/w_anna.txt;138;562;0.5;160;0.2;32;389;30;[0, 1, 132, 68, 134, 71, 73, 76, 17, 84, 85, 86, 22, 87, 26, 94, 95, 35, 99, 101, 41, 106, 42, 47, 112, 115, 55, 123, 126, 63]
literature/w_anna.txt;138;562;0.75;160;0.2;32;60274;40;[0, 131, 132, 68, 134, 70, 71, 136, 73, 14, 79, 17, 84, 85, 87, 89, 30, 94, 31, 95, 35, 37, 101, 38, 102, 103, 41, 105, 110, 47, 114, 116, 118, 122, 123, 60, 124, 62, 126, 63]
literature/w_anna.txt;138;562;1.0;160;0.2;32;60103;48;[128, 0, 2, 3, 132, 4, 134, 7, 136, 137, 14, 17, 30, 31, 35, 37, 38, 60, 61, 62, 63, 68, 70, 71, 73, 79, 81, 84, 85, 87, 89, 94, 95, 97, 100, 101, 102, 103, 105, 110, 114, 115, 116, 118, 120, 122, 124, 126]
literature/w_polbooks.txt;105;493;0.1;160;0.2;32;61;14;[3, 4, 39, 72, 8, 104, 73, 12, 84, 20, 57, 58, 59, 95]
literature/w_polbooks.txt;105;493;0.25;160;0.2;32;92;16;[66, 34, 3, 67, 4, 8, 73, 12, 81, 84, 20, 57, 58, 59, 31, 95]
literature/w_polbooks.txt;105;493;0.5;160;0.2;32;88;19;[66, 34, 3, 99, 4, 69, 102, 8, 40, 104, 75, 12, 81, 84, 20, 87, 57, 58, 61]
literature/w_polbooks.txt;105;493;0.75;160;0.2;32;135;24;[65, 66, 3, 4, 6, 8, 73, 10, 74, 12, 81, 84, 90, 30, 99, 101, 102, 39, 40, 104, 47, 49, 57, 58]
literature/w_polbooks.txt;105;493;1.0;160;0.2;32;260;29;[0, 65, 66, 3, 4, 8, 9, 73, 10, 74, 75, 12, 81, 84, 90, 29, 30, 34, 102, 103, 104, 40, 47, 48, 53, 56, 58, 61, 63]
literature/w_adjnoun.txt;112;481;0.1;160;0.2;32;102;18;[64, 1, 2, 70, 9, 42, 43, 107, 11, 14, 79, 17, 51, 24, 89, 92, 29, 94]
literature/w_adjnoun.txt;112;481;0.25;160;0.2;32;60096;24;[64, 2, 69, 6, 9, 73, 74, 16, 17, 24, 25, 89, 27, 91, 94, 95, 33, 42, 43, 109, 110, 50, 51, 58]
literature/w_adjnoun.txt;112;481;0.5;160;0.2;32;256;28;[64, 2, 68, 5, 8, 73, 74, 11, 75, 76, 17, 24, 90, 27, 91, 92, 94, 104, 43, 107, 109, 110, 51, 54, 55, 56, 58, 62]
literature/w_adjnoun.txt;112;481;0.75;160;0.2;32;60149;39;[64, 65, 2, 68, 5, 69, 8, 73, 74, 75, 76, 12, 14, 79, 17, 85, 86, 24, 90, 26, 91, 94, 95, 32, 96, 97, 99, 37, 102, 104, 40, 107, 109, 110, 111, 51, 55, 58, 62]
literature/w_adjnoun.txt;112;481;1.0;160;0.2;32;60109;48;[1, 2, 4, 8, 11, 13, 17, 27, 28, 39, 43, 47, 50, 51, 55, 56, 58, 62, 64, 65, 68, 69, 71, 72, 73, 74, 75, 77, 78, 82, 85, 86, 90, 91, 93, 94, 95, 96, 97, 99, 101, 104, 106, 107, 108, 109, 110, 111]
literature/w_zachary.txt;34;95;0.1;160;0.2;32;1;4;[0, 33, 5, 24]
literature/w_zachary.txt;34;95;0.25;160;0.2;32;3;5;[0, 33, 5, 23, 24]
literature/w_zachary.txt;34;95;0.5;160;0.2;32;5;8;[0, 32, 16, 33, 3, 23, 11, 31]
literature/w_zachary.txt;34;95;0.75;160;0.2;32;10;11;[0, 32, 16, 33, 1, 3, 4, 23, 27, 11, 31]
literature/w_zachary.txt;34;95;1.0;160;0.2;32;18;15;[0, 32, 33, 1, 2, 3, 4, 11, 15, 16, 21, 25, 27, 29, 31]
literature/w_huck.txt;74;338;0.1;160;0.2;32;21;9;[48, 16, 34, 3, 69, 21, 54, 73, 30]
literature/w_huck.txt;74;338;0.25;160;0.2;32;32;12;[3, 6, 73, 47, 48, 16, 51, 21, 53, 54, 56, 57]
literature/w_huck.txt;74;338;0.5;160;0.2;32;76;18;[0, 64, 32, 34, 3, 69, 70, 71, 42, 21, 53, 54, 57, 25, 59, 27, 30, 63]
