filename;numVertices;numEdges;kWeight;maxIterations;removeVerticesPercentage;wheelIterations;runtime(ms);size;solution
random/w_rnd_graph_1000_30_1.txt;1000;150350;0.1;160;0.2;32;3920;10;[497, 980, 869, 630, 87, 489, 346, 954, 125, 573]
random/w_rnd_graph_1000_30_1.txt;1000;150350;0.25;160;0.2;32;3943;11;[400, 864, 994, 835, 196, 980, 436, 836, 487, 761, 845]
random/w_rnd_graph_1000_30_1.txt;1000;150350;0.5;160;0.2;32;4944;13;[640, 196, 806, 583, 491, 108, 780, 949, 534, 759, 55, 795, 29]
random/w_rnd_graph_1000_30_1.txt;1000;150350;0.75;160;0.2;32;5631;16;[131, 582, 40, 841, 107, 395, 302, 463, 687, 47, 851, 532, 409, 124, 669, 989]
random/w_rnd_graph_1000_30_1.txt;1000;150350;1.0;160;0.2;32;9517;19;[513, 289, 995, 302, 590, 979, 758, 854, 982, 152, 731, 91, 860, 92, 349, 157, 382, 606, 959]
random/w_rnd_graph_2000_30_3.txt;2000;600700;0.1;160;0.2;32;12377;11;[512, 53, 38, 854, 1016, 841, 1657, 1436, 445, 78, 430]
random/w_rnd_graph_2000_30_3.txt;2000;600700;0.25;160;0.2;32;15218;13;[1760, 64, 226, 1765, 966, 551, 1738, 1996, 429, 880, 627, 1015, 697]
random/w_rnd_graph_2000_30_3.txt;2000;600700;0.5;160;0.2;32;22286;15;[1346, 1542, 1671, 1993, 428, 877, 1071, 1968, 1299, 181, 760, 1625, 125, 95, 735]
random/w_rnd_graph_2000_30_3.txt;2000;600700;0.75;160;0.2;32;26764;18;[1219, 1541, 263, 648, 1738, 1226, 1869, 911, 1616, 1809, 211, 1523, 53, 1749, 1942, 1401, 607, 255]
random/w_rnd_graph_2000_30_3.txt;2000;600700;1.0;160;0.2;32;53652;21;[1952, 836, 1864, 137, 1769, 491, 1995, 300, 396, 1325, 880, 1300, 181, 118, 1718, 918, 280, 1592, 474, 959, 1631]
random/w_rnd_graph_500_50_1.txt;500;62625;0.1;160;0.2;32;604;5;[321, 162, 276, 269, 191]
random/w_rnd_graph_500_50_1.txt;500;62625;0.25;160;0.2;32;649;6;[386, 38, 471, 377, 138, 287]
random/w_rnd_graph_500_50_1.txt;500;62625;0.5;160;0.2;32;592;7;[98, 484, 407, 489, 105, 73, 126]
random/w_rnd_graph_500_50_1.txt;500;62625;0.75;160;0.2;32;628;9;[464, 482, 406, 70, 471, 487, 489, 138, 270]
